Année,FINESS,Raison sociale,Commune,Statut Juridique,Région
2013,060785003,060785003 - HOPITAL PASTEUR DU CHU DE NICE,NICE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060785219,060785219 - CLINIQUE PLEIN CIEL,MOUGINS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060785227,060785227 - CLINIQUE DE SOINS DE SUITE ET DE READAPTATION ST BASILE,MOUGINS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060785243,060785243 - HAD DE NICE ET REGION,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060788957,060788957 - HOPITAL DE CIMIEZ,NICE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060789195,060789195 - HOPITAL DE L'ARCHET DU CHU DE NICE,NICE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060789674,060789674 - CENTRE HELIO MARIN,VALLAURIS,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060790177,060790177 - CHU DE NICE CTRE CONVALESCENCE TENDE,TENDE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060790631,060790631 - CH LA PALMOSA SLD DE MENTON,MENTON,Public,93 - Provence-Alpes-Côte d'Azur
2013,060790680,060790680 - CH DE GRASSE CENTRE DE LONG SEJOUR,GRASSE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060790862,060790862 - C.A.L.M.E.,CABRIS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060791811,060791811 - A.G.R.M.S,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060791860,060791860 - CENTRE D'HEMODIALYSE A.TZANCK,SAINT-LAURENT-DU-VAR,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060792090,060792090 - DIALYSE DOMICILE,SAINT-ANDRE-DE-LA-ROCHE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060792736,060792736 - AUTODIALYSE AGAHTIR,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060792850,060792850 - DIALYSE A DOMICILE A.TZANCK,SAINT-LAURENT-DU-VAR,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060792900,060792900 - AUTODIALYSE MOUGINS,MOUGINS,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060792926,060792926 - HEMODIALYSE DE LA  RIVIERA,ANTIBES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060793239,060793239 - A.G.R.M.S.,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060794013,060794013 - CHIRURGIE CARDIAQUE A.TZANCK,SAINT-LAURENT-DU-VAR,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060794021,060794021 - CH PIERRE NOUVEAU CTRE MOY SEJ CANNES,CANNES,Public,93 - Provence-Alpes-Côte d'Azur
2013,060798881,060798881 - MAISON DE CONVALESCENCE LA SERENA,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060800166,060800166 - CLINIQUE DE L'ESPERANCE,MOUGINS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060800174,060800174 - FONDATION LENVAL HOPITAL POUR ENFANTS,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060800182,060800182 - UNITE DE DIETETIQUE,PEGOMAS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060800687,060800687 - MAISON  DE CONVALESCENCE LES MAGNOLIAS,SAINT-LAURENT-DU-VAR,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060801016,060801016 - AUTODIALYSE MANDELIEU,MANDELIEU-LA-NAPOULE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,070000013,070000013 - CH DES VALS D'ARDÈCHE,PRIVAS,Public,82 - Rhône-Alpes
2013,070000021,070000021 - HOPITAL LOCAL DE JOYEUSE,JOYEUSE,Public,82 - Rhône-Alpes
2013,070000039,070000039 - HÔPITAL LOCAL DE VALLON PONT D'ARC,VALLON-PONT-D'ARC,Public,82 - Rhône-Alpes
2013,070000047,070000047 - CH DE  VILLENEUVE DE BERG,VILLENEUVE-DE-BERG,Public,82 - Rhône-Alpes
2013,070000062,070000062 - HL DE BOURG ST ANDEOL,BOURG-SAINT-ANDEOL,Public,82 - Rhône-Alpes
2013,070000070,070000070 - HOPITAL LOCAL DU CHEYLARD,LE CHEYLARD,Public,82 - Rhône-Alpes
